H,V,C,MUNSELL_NAME,x,y,Y,OKLCH_L,OKLCH_C,OKLCH_h,sRGB_R,sRGB_G,sRGB_B,IN_SRGB_GAMUT,FAKE_MUNSEL
5RP,0.8,2,5RP 0.8/2,0.336,0.243,0.943,0.2142317938,0.04080891899,337.8290062,0.1457842627,0.06824862737,0.1247391899,TRUE,FALSE
5RP,0.8,4,5RP 0.8/4,0.347,0.206,0.943,0.217487125,0.06738502028,337.5388378,0.1742531994,0.04170334712,0.1444283459,TRUE,FALSE
5RP,0.8,6,5RP 0.8/6,0.355,0.179,0.943,0.220518313,0.09105157576,337.5188339,0.1982445734,0.009097824847,0.1615663866,TRUE,FALSE
7.5RP,0.8,2,7.5RP 0.8/2,0.35,0.251,0.943,0.2143800229,0.04125241899,343.5863132,0.1501690768,0.06678404458,0.1179131505,TRUE,FALSE
7.5RP,0.8,4,7.5RP 0.8/4,0.369,0.217,0.943,0.2176445505,0.06782930685,343.1779692,0.1803172243,0.03850090632,0.1334576306,TRUE,FALSE
7.5RP,0.8,6,7.5RP 0.8/6,0.384,0.19,0.943,0.2208282392,0.09293523206,342.9879255,0.2069581031,0.00279625741,0.1480536202,TRUE,FALSE
10RP,0.8,2,10RP 0.8/2,0.365,0.261,0.943,0.2144399125,0.04121960664,349.7263748,0.1537264251,0.06587756271,0.10993883,TRUE,FALSE
10RP,0.8,4,10RP 0.8/4,0.393,0.23,0.943,0.2177127625,0.06784484696,349.0557398,0.1854726287,0.03613712894,0.1211717219,TRUE,FALSE
2.5R,0.8,2,2.5R 0.8/2,0.381,0.272,0.943,0.2144773355,0.04131695218,356.1277465,0.1569913804,0.06510760769,0.1013491723,TRUE,FALSE
2.5R,0.8,4,2.5R 0.8/4,0.421,0.245,0.943,0.2177871316,0.06822733336,355.515589,0.1907314928,0.03356814714,0.107169535,TRUE,FALSE
5R,0.8,2,5R 0.8/2,0.399,0.286,0.943,0.2144275398,0.04110169906,3.620737609,0.1595456533,0.06492791839,0.09094951478,TRUE,FALSE
5R,0.8,4,5R 0.8/4,0.45,0.261,0.943,0.2178184636,0.06865833899,1.970277892,0.1951607483,0.03155857114,0.09244862969,TRUE,FALSE
7.5R,0.8,2,7.5R 0.8/2,0.411,0.297,0.943,0.2143124613,0.04060389715,9.179121667,0.1603570284,0.0654258738,0.08323197459,TRUE,FALSE
7.5R,0.8,4,7.5R 0.8/4,0.477,0.276,0.943,0.2178348849,0.06930559746,7.777688252,0.1986896534,0.02996909922,0.07845193694,TRUE,FALSE
10R,0.8,2,10R 0.8/2,0.423,0.309,0.943,0.2141581039,0.04010295903,15.16201089,0.1606825682,0.06622937721,0.07501889811,TRUE,FALSE
10R,0.8,4,10R 0.8/4,0.508,0.296,0.943,0.2176920361,0.0692907978,14.99752391,0.2009159009,0.03016167824,0.06018506481,TRUE,FALSE
2.5YR,0.8,2,2.5YR 0.8/2,0.445,0.333,0.943,0.2138188147,0.03972083746,26.97506899,0.1604285585,0.06815027461,0.05872793534,TRUE,FALSE
2.5YR,0.8,4,2.5YR 0.8/4,0.558,0.33,0.943,0.2174162207,0.07032278276,26.93855553,0.2031541767,0.0314339009,0.0261357477,TRUE,FALSE
